Unit;ADR13;ADR14;ADR15;ADR16;Ocurrences;Class DeF
org.apache.cassandra.db.compaction.AbstractCompactionTask;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.CompactionController;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.CompactionInfo;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.CompactionIterable;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.CompactionIterable$Reducer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.CompactionManager;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.compaction.CompactionManager$CleanupInfo;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutor;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.CompactionManager$ScrubInfo;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.CompactionManager$SimpleFuture;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.CompactionManager$ValidationCompactionIterable;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.CompactionManager$ValidationExecutor;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.CompactionTask;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.LazilyCompactedRow;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.LazilyCompactedRow$Reducer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.LeveledCompactionStrategy;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.LeveledCompactionTask;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.LeveledManifest;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.compaction.ParallelCompactionIterable;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.ParallelCompactionIterable$CompactedRowContainer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Deserializer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.ParallelCompactionIterable$NotifyingSSTableIdentityIterator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer$DeserializedColumnIterator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Reducer$MergeTask;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.compaction.ParallelCompactionIterable$RowContainer;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.ParallelCompactionIterable$Unwrapper;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.PrecompactedRow;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.compaction.SizeTieredCompactionStrategy;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.context.CounterContext;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.context.CounterContext$ContextState;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.context.CounterContext$LazyHolder;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.filter.AbstractColumnIterator;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.filter.NamesQueryFilter;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.filter.QueryFilter;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.filter.QueryPath;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.filter.SliceQueryFilter;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.index.PerColumnSecondaryIndex;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.index.PerRowSecondaryIndex;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.index.SecondaryIndex;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.index.SecondaryIndexBuilder;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.index.SecondaryIndexManager;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.index.SecondaryIndexSearcher;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.index.keys.KeysIndex;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.index.keys.KeysSearcher;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.marshal.AbstractCommutativeType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.AbstractCompositeType;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.marshal.AsciiType;1.0;0.0;1.0;1.0;3.0;0.75
